origin_iata,origin_lon,origin_lat,dest_iata,dest_lon,dest_lat,total
DEN,-104.6737376,39.8560963,ONT,-117.598057,34.0559781,127
DEN,-104.6737376,39.8560963,SJC,-121.9289375,37.3639472,127
IAD,-77.45653879999999,38.9531162,DEN,-104.6737376,39.8560963,127
LAX,-118.40853,33.9415889,MCO,-81.308083,28.4311577,127
MSP,-93.2222846,44.8847554,EWR,-74.1744624,40.6895314,127
PHL,-75.2424229,39.8743959,DEN,-104.6737376,39.8560963,127
RDU,-78.7879963,35.88007899999999,ORD,-87.9073214,41.9741625,127
SJC,-121.9289375,37.3639472,DEN,-104.6737376,39.8560963,127
EWR,-74.1744624,40.6895314,MSP,-93.2222846,44.8847554,126
MCO,-81.308083,28.4311577,ORD,-87.9073214,41.9741625,126
SLC,-111.9790706,40.7899404,IAH,-95.3367827,29.9902199,126
DFW,-97.0403352,32.8998091,MSP,-93.2222846,44.8847554,125
IAH,-95.3367827,29.9902199,MSP,-93.2222846,44.8847554,125
SEA,-122.3088165,47.4502499,SAN,-117.1933038,32.7338006,125
BHM,-86.754126,33.5624269,ATL,-84.4277001,33.6407282,124
BOS,-71.0095602,42.3656132,LGA,-73.8739659,40.7769271,124
DEN,-104.6737376,39.8560963,OKC,-97.600556,35.393056,124
DTW,-83.3553842,42.2161722,MKE,-87.89664599999999,42.9475534,124
LAX,-118.40853,33.9415889,MSP,-93.2222846,44.8847554,124
MSP,-93.2222846,44.8847554,DFW,-97.0403352,32.8998091,124
MSP,-93.2222846,44.8847554,LAX,-118.40853,33.9415889,124
ORD,-87.9073214,41.9741625,BUF,-78.7295067,42.9397059,124
ORD,-87.9073214,41.9741625,CLT,-80.9473146,35.2144026,124
PHX,-112.0077881,33.4372686,ONT,-117.598057,34.0559781,124
CLT,-80.9473146,35.2144026,ORD,-87.9073214,41.9741625,123
GRR,-85.5248434,42.8846633,DTW,-83.3553842,42.2161722,123
STL,-90.374819,38.7499403,MSP,-93.2222846,44.8847554,123
