icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
KISN,ISN,SLOULIN FLD INTERNATIONAL,WILLISTON,USA,605,48.178,-103.642,3592
KISP,ISP,LONG ISLAND MAC ARTHUR,ISLIP,USA,31,40.795,-73.1,3593
KJAN,JAN,JACKSON INTERNATIONAL,JACKSON,USA,106,32.311,-90.076,3594
KJAX,JAX,JACKSONVILLE INTERNATIONAL,JACKSONVILLE,USA,10,30.494,-81.688,3595
KJBR,JBR,JONESBORO MUNI,JONESBORO,USA,80,35.832,-90.646,3596
KJFK,JFK,JOHN F KENNEDY INTERNATIONAL,NEW YORK,USA,4,40.64,-73.779,3597
KJNT,N/A,N/A,HEMPSTED,USA,0,0,0,3598
KJYD,N/A,N/A,MERIDIAN,USA,0,0,0,3599
KLAN,LAN,CAPITAL CITY,LANSING,USA,263,42.779,-84.587,3600
KLAS,LAS,MC CARRAN INTERNATIONAL,LAS VEGAS,USA,665,36.08,-115.152,3601
KLAX,LAX,LOS ANGELES INTERNATIONAL,LOS ANGELES,USA,39,33.942,-118.408,3602
KLBB,LBB,LUBBOCK INTERNATIONAL,LUBBOCK,USA,1001,33.664,-101.823,3603
KLCH,LCH,LAKE CHARLES RGNL,LAKE CHARLES,USA,5,30.126,-93.223,3604
KLCK,LCK,RICKENBACKER INTERNATIONAL,COLUMBUS,USA,227,39.814,-82.928,3605
KLFI,LFI,LANGLEY AFB,HAMPTON,USA,4,37.083,-76.36,3606
KLFK,LFK,ANGELINA CO,LUFKIN,USA,91,31.234,-94.75,3607
KLFT,LFT,LAFAYETTE RGNL,LAFAYETTE,USA,13,30.205,-91.987,3608
KLGA,LGA,LA GUARDIA,NEW YORK,USA,7,40.777,-73.872,3609
KLGB,LGB,LONG BEACH,LONG BEACH,USA,19,33.818,-118.151,3610
KLHW,LHW,WRIGHT AAF,WRIGHT,USA,15,31.889,-81.562,3611
KLIT,LIT,ADAMS FLD,LITTLE ROCK,USA,80,34.729,-92.224,3612
KLIZ,N/A,N/A,LIMESTONE,USA,0,0,0,3613
KLNA,LNA,PALM BEACH CO PARK,WEST PALM BEACH,USA,5,26.593,-80.085,3614
KLNK,LNK,LINCOLN MUNI,LINCOLN,USA,372,40.851,-96.759,3615
KLOU,LOU,BOWMAN FLD,LOUISVILLE,USA,167,38.228,-85.664,3616
KLRD,LRD,LAREDO INTERNATIONAL,LAREDO,USA,155,27.544,-99.461,3617
KLRF,LRF,LITTLE ROCK AFB,JACKSONVILLE,USA,95,34.918,-92.146,3618
KLSF,LSF,LAWSON AAF,FORT BENNING,USA,71,32.337,-84.991,3619
KLSV,LSV,NELLIS AFB,LAS VEGAS,USA,570,36.236,-115.034,3620
KLTS,LTS,ALTUS AFB,ALTUS,USA,422,34.667,-99.267,3621
KLUF,LUF,LUKE AFB,PHOENIX,USA,331,33.535,-112.383,3622
KLUK,LUK,CINCINNATI MUNI LUNKEN FLD,CINCINNATI,USA,148,39.103,-84.419,3623
KMAF,MAF,MIDLAND INTERNATIONAL,MIDLAND,USA,876,31.942,-102.202,3624
KMCC,MCC,MC CLELLAN AFLD,SACRAMENTO,USA,23,38.667,-121.401,3625
KMCF,MCF,MACDILL AFB,TAMPA,USA,5,27.849,-82.521,3626
KMCI,MCI,KANSAS CITY INTERNATIONAL,KANSAS CITY,USA,313,39.297,-94.714,3627
KMCN,MCN,MIDDLE GEORGIA RGNL,MACON,USA,108,32.693,-83.649,3628
KMCO,MCO,ORLANDO INTERNATIONAL,ORLANDO,USA,30,28.429,-81.316,3629
KMDT,MDT,HARRISBURG INTERNATIONAL,HARRISBURG,USA,95,40.193,-76.763,3630
KMDW,MDW,CHICAGO MIDWAY INTERNATIONAL,CHICAGO,USA,189,41.786,-87.752,3631
KMEM,MEM,MEMPHIS INTERNATIONAL,MEMPHIS,USA,104,35.042,-89.977,3632
KMER,MER,CASTLE,MERCED,USA,58,37.38,-120.568,3633
KMFE,MFE,MC ALLEN MILLER INTERNATIONAL,MCALLEN,USA,33,26.176,-98.239,3634
KMGE,MGE,DOBBINS ARB,MARIETTA,USA,326,33.915,-84.516,3635
KMHR,MHR,SACRAMENTO MATHER,SACRAMENTO,USA,30,38.554,-121.297,3636
KMIA,MIA,MIAMI INTERNATIONAL,MIAMI,USA,3,25.793,-80.291,3637
KMIB,MIB,MINOT AFB,MINOT,USA,509,48.416,-101.357,3638
KMIV,MIV,MILLVILLE MUNI,MILLVILLE,USA,26,39.368,-75.072,3639
KMKE,MKE,GENERAL MITCHELL INTERNATIONAL,MILWAUKEE,USA,221,42.947,-87.896,3640
KMKL,MKL,MC KELLAR SIPES RGNL,JACKSON,USA,133,35.6,-88.916,3641
KMKO,MKO,DAVIS FLD,MUSKOGEE,USA,186,35.657,-95.361,3642
KMLB,MLB,MELBOURNE INTERNATIONAL,MELBOURNE,USA,11,28.103,-80.645,3643
KMLC,MLC,MC ALESTER RGNL,MCALESTER,USA,235,34.882,-95.783,3644
KMLT,MLT,MILLINOCKET MUNI,MILLINOCKET,USA,125,45.648,-68.686,3645
KMLU,MLU,MONROE RGNL,MONROE,USA,25,32.511,-92.037,3646
KMMV,MMV,MC MINNVILLE MUNI,MACKMINNVILLE,USA,50,45.194,-123.136,3647
KMNM,MNM,MENOMINEE MARINETTE TWIN CO,MACON,USA,191,45.126,-87.638,3648
KMOB,MOB,MOBILE RGNL,MOBILE,USA,67,30.691,-88.243,3649
KMOD,MOD,MODESTO CITY CO HARRY SHAM,MODESTO,USA,30,37.626,-120.954,3650
KMOT,MOT,MINOT INTERNATIONAL,MINOT,USA,519,48.259,-101.28,3651
KMPV,MPV,EDWARD F KNAPP STATE,MONTPELIER,USA,356,44.203,-72.562,3652
KMQT,MQT,SAWYER INTERNATIONAL,MARQUETTE,USA,433,46.534,-87.562,3653
KMSN,MSN,DANE CO RGNL TRUAX FLD,MADISON,USA,271,43.14,-89.337,3654
KMSP,MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,MINNEAPOLIS,USA,257,44.88,-93.217,3655
KMSS,MSS,MASSENA INTERNATIONAL RICHARDS FLD,MASSENA,USA,66,44.936,-74.845,3656
KMSY,MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,NEW ORLEANS,USA,2,29.993,-90.258,3657
KMTC,MTC,SELFRIDGE ANGB,MOUNT CLEMENS,USA,177,42.613,-82.832,3658
KMUI,MUI,MUIR AAF,MUIR,USA,150,40.435,-76.569,3659
KMUO,MUO,MOUNTAIN HOME AFB,MOUNTAIN HOME,USA,914,43.043,-115.872,3660
KMWH,MWH,GRANT CO INTERNATIONAL,GRANT COUNTY AIRPORT,USA,362,47.208,-119.32,3661
KMWL,MWL,MINERAL WELLS,MINERAL WELLS,USA,297,32.781,-98.06,3662
KMXF,MXF,MAXWELL AFB,MONTGOMERY,USA,53,32.379,-86.362,3663
KMYR,MYR,MYRTLE BEACH INTERNATIONAL,MYRTLE BEACH,USA,8,33.68,-78.928,3664
KNAB,ABY,N/A,ALBANY,USA,0,0,0,3665
KNBC,NBC,BEAUFORT MCAS,BEAUFORT,USA,11,32.477,-80.723,3666
