icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
CYNA,YNA,NATASHQUAN,NATASHQUAN,CANADA,11,50.19,-61.789,186
CYND,YND,GATINEAU,GATINEAU,CANADA,65,45.521,-75.564,187
CYNI,N/A,N/A,NITCHEQUON,CANADA,0,0,0,188
CYNM,YNM,MATAGAMI,MATAGAMI,CANADA,280,49.762,-77.803,189
CYNY,N/A,N/A,ENDERBY,CANADA,0,0,0,190
CYO ,N/A,N/A,WYNYARD,CANADA,0,0,0,191
CYOC,YOC,OLD CROW,OLD CROW,CANADA,252,67.571,-139.839,192
CYOD,YOD,COLD LAKE,COLD LAKE,CANADA,542,54.405,-110.279,193
CYOJ,YOJ,HIGH LEVEL,HIGH LEVEL,CANADA,339,58.621,-117.165,194
CYOW,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,114,45.323,-75.669,195
CYPA,YPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,CANADA,429,53.214,-105.673,196
CYPE,YPE,PEACE RIVER,PEACE RIVER,CANADA,571,56.227,-117.447,197
CYPF,N/A,N/A,ESQUIMALT,CANADA,0,0,0,198
CYPG,YPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,CANADA,270,49.903,-98.275,199
CYPH,YPH,N/A,INUKJUAK,CANADA,0,0,0,200
CYPK,N/A,PITT MEADOWS,PITT MEADOWS,CANADA,4,49.216,-122.71,201
CYPL,YPL,PICKLE LAKE,PICKLE LAKE,CANADA,387,51.446,-90.214,202
CYPN,YPN,PORT MENIER,PORT MENIER,CANADA,51,49.836,-64.289,203
CYPQ,YPQ,PETERBOROUGH,PETERBOROUGH,CANADA,192,44.23,-78.363,204
CYPR,YPR,PRINCE RUPERT,PRINCE PUPERT,CANADA,36,54.286,-130.445,205
CYPY,YPY,FORT CHIPEWYAN,FORT CHIPEWYAN,CANADA,232,58.767,-111.117,206
CYQA,YQA,MUSKOKA,MUSKOKA,CANADA,282,44.975,-79.303,207
CYQB,YQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,CANADA,75,46.788,-71.398,208
CYQF,YQF,RED DEER REGIONAL,RED DEER INDUSTRIAL,CANADA,905,52.179,-113.893,209
CYQG,YQG,WINDSOR,WINDSOR,CANADA,190,42.276,-82.956,210
CYQH,YQH,WATSON LAKE,WATSON LAKE,CANADA,688,60.118,-128.822,211
CYQK,YQK,KENORA,KENORA,CANADA,406,49.788,-94.363,212
CYQL,YQL,LETHBRIDGE,LETHBRIDGE,CANADA,929,49.63,-112.8,213
CYQM,YQM,GREATER MONCTON INTERNATIONAL,MONCTON,CANADA,71,46.112,-64.679,214
CYQN,N/A,NAKINA,NAKINA,CANADA,323,50.183,-86.696,215
CYQQ,YQQ,COMOX,COMOX,CANADA,26,49.711,-124.887,216
CYQR,YQR,REGINA INTERNATIONAL,REGINA,CANADA,578,50.432,-104.666,217
CYQT,YQT,THUNDER BAY,THUNDER BAY,CANADA,200,48.372,-89.324,218
CYQU,YQU,GRANDE PRAIRIE,GRANDE PRAIRIE,CANADA,670,55.18,-118.885,219
CYQV,YQV,YORKTON MUNI,YORKTON,CANADA,499,51.265,-102.462,220
CYQW,YQW,NORTH BATTLEFORD,NORTH BATTLEFORD,CANADA,549,52.769,-108.244,221
CYQX,YQX,GANDER INTERNATIONAL,GANDER,CANADA,152,48.937,-54.568,222
CYQY,YQY,SYDNEY,SYDNEY,CANADA,62,46.161,-60.048,223
CYQZ,YQZ,QUESNEL,QUESNEL,CANADA,546,53.026,-122.51,224
CYRB,YRB,RESOLUTE BAY,RESOLUTE,CANADA,66,74.717,-94.969,225
CYRI,YRI,RIVIERE DU LOUP,RIVIERE DU LOUP,CANADA,131,47.764,-69.585,226
CYRJ,YRJ,ROBERVAL,ROBERVAL,CANADA,179,48.52,-72.266,227
CYRM,YRM,ROCKY MOUNTAIN HOUSE,ROCKY MOUNTAIN HOUSE,CANADA,989,52.43,-114.904,228
CYRT,YRT,RANKIN INLET,RANKIN INLET,CANADA,29,62.811,-92.116,229
CYRW,N/A,N/A,TROIS RIVIERE,CANADA,0,0,0,230
CYSA,N/A,N/A,SABLE ISLAND,CANADA,0,0,0,231
CYSB,YSB,SUDBURY,SUDBURY,CANADA,348,46.625,-80.799,232
CYSC,YSC,SHERBROOKE,SHERBROOKE,CANADA,242,45.438,-71.691,233
CYSD,N/A,N/A,SUFFIELD,CANADA,0,0,0,234
CYSF,YSF,N/A,STONY RAPIDS,CANADA,0,0,0,235
CYSJ,YSJ,SAINT JOHN,ST. JOHN,CANADA,109,45.316,-65.89,236
CYSK,YSK,N/A,SANIKILUAQ,CANADA,0,0,0,237
CYSM,YSM,FORT SMITH,FORT SMITH,CANADA,206,60.022,-111.96,238
CYSR,YSR,NANISIVIK,NANISIVIK,CANADA,642,72.982,-84.614,239
CYSS,N/A,N/A,SLATE ISLAND,CANADA,0,0,0,240
CYSU,YSU,SUMMERSIDE,SUMMERSIDE,CANADA,18,46.443,-63.831,241
CYSY,YSY,SACHS HARBOUR,SACHS HARBOUR,CANADA,86,71.994,-125.243,242
CYTC,N/A,N/A,ETHELDA BAY,CANADA,0,0,0,243
CYTE,YTE,CAPE DORSET,CAPE DORSET,CANADA,50,64.23,-76.527,244
CYTH,YTH,THOMPSON,THOMPSON,CANADA,223,55.801,-97.864,245
